genre,question,answer,a,b,c,d
animals,What is the white tigers scientific name?,3,Pantha,Panthera tigis,Panthera tiger,Panthera tigris
animals,Which of the following is not a type of chipmunk?,0,Bushy-tailed,Long-eared,Eastern,Sonoma
animals,Which of these is not an actual breed of horse?,0,Sioux,Russian Trotter,Belgian,Murgese
animals,Which of the following is not a breed of dog?,3,Pom-a-poo,Lakeland terrier,Fox terrier,Ferret terrier
animals,One of these is not a true breed of cat. Which one?,3,Pixie-bob,Maine coon,Ragdoll,French Twist
animals,Which of these is not a type of beetle?,3,Long-horn beetle,Stag beetle,Flea beetle,Burrowing beetle
animals,Which of the following is not a type of spider?,0,Glass spider,Trapdoor spider,Brown recluse spider,Bird-dropping spider
animals,All but one of the following are true types of bears. Which is the odd one?,0,Moon bear,Brown bear,Black bear,Sun bear
animals,Which of these is not an actual breed of sheep?,1,Scottish black-face,Dakota,Hampshire,Merino
animals,One of these is not a true breed of chicken. Which one?,3,Hamburg,Plymouth Rock,Leghorn,Red-tailed
animals,Which of the following is not a breed of pig?,2,Norwegian Yorkshire,Vietnamese pot-belly,Ridgeback,Tokyo-X
animals,What is a group of lions called?,3,Family,Group,School,Pride
animals,"Generally, how many times in an interval of 5 hours do lions mate?",3,1,5,20,10
animals,What is the breed of animal created from the crossing of a male lion and a female tiger?,3,Tigon,Tiges,Ligon,Liger
animals,What is the breed of animal created from the crossing of a female lion and a male tiger?,2,Tigen,Liger,Tigon,Liges
animals,What do male lions have which females do not possess?,1,An extra tooth,A mane,Longer nails,Distinguished eyes
animals,What is the average lifespan of a lion living in the wild?,2,20 - 30 years,Less than 10 years,10 -15 years,Greater than 30 years
animals,"Cats twitch the tips of their tails slightly when hunting or when angry, while stronger twitching indicates what?",1,Stress,Displeasure,Boredom,Playfulness
animals,"If a cat pushes its face against your head, this means what?",2,Impatience,Submission,Acceptance,Aggression
animals,"Cats generally purr when they are happy, but they can also be heard purring in what other situation?",0,When they are distressed or in pain,When they are hunting or playing,When they are hungry or thirsty,When they are lonely or angry
animals,How many different vocalization sounds does a cat make?,0,100,200,50,150
animals,What was the largest  eagle ever found on Earth?,1,Golden Eagle,Haasts Eagle,Harpy Eagle,Bald Eagle
animals,Which term refers to the group formed by frogs and amphibians?,1,Drosophillia,Herps,Mollusks,Nematodes
animals,Which statement about elephants is untrue?,3,Elephants sleep standing up,Elephants cry,There are some pink elephants in India,Elephants do not have great memories
animals,What is alektorophobia?,2,The unreasonable fear of birds of prey,The unreasonable fear of roaches,The unreasonable fear of chickens,The unreasonable fear of sharks
animals,How do scientists calculate the age of a fish?,2,They count all the teeth in the fishs mouth.,They measure the size of the fish and compare that to the average size of that type of  fish.,They count the growth rings on the ear bone.,They count the teeth in the fishs lower lip.
animals,"Pound for pound, humans are not the strongest animals. What is considered the strongest species, pound for pound?",0,The Hercules beetle,The leaf-cutting ant,The red ant,The atlas roach
animals,Human beings have 23 pairs of  chromosomes. Which animal has the most chromosomes?,3,minke whale,millipedes,elephants,hermit crabs
animals,What type of animal is a lamprey?,1,worm,fish,insect,amphibian
animals,What is the name of the first book by Darwin that directly dealt with evolution?,2,Essay on the Principles of Population,Totem and Taboo,On the Origins of the Species,The Descent of Man and the Selection in Relation to Sex
animals,Which of these animals has the largest paws?,2,An average mountain lion,An average nematode,An average lynx,An average lichen
animals,"Despite the myth that Chihuahuas were descendants of the royal dog of the Aztecs, it is also believed that Spanish trade merchants brought Chihuahuas to which of these countries?",3,Venezuela,United States,Brazil,Mexico
animals,What maximum height at the withers can Chihuahuas reach?,1,24 inches (60 cm),15 inches (38 cm),12 inches (30 cm),9 inches (22 cm)
animals,Chihuahuas are the only dogs to be born with what?,2,An extra leg tendon,Hairless inner ears,An incomplete skull,Two extra canine teeth
animals,What is the average lifespan of Chihuahuas?,1,8 - 12 years,8- 18 years,8 - 26 years,8 - 15 years
animals,The Chihuahua Gidget is famous for what reason?,2,Paris Hilton has it as a pet.,It was a fill-in mascot for the Georgia Bulldogs.,It was a mascot for Taco Bell.,It was a mascot for Taco John.
animals,What does the word “hippopotamus” mean?,2,Water pig,Fat horse,River horse,River pig
animals,How long in years is the life span of an average wild hippopotamus?,1,10-20,40-50,30-40,20-30
animals,This is the basic food of the sea. Billions upon billions of these organisms live in the sea.,1,Seaweed,Plankton,Crabs,Shrimp
animals,This is the result of the gravitational pull from the moon and sun.,1,Migration of certain species of whales,Tides,Shoreline,Waves
animals,These creatures look like flowers as they grow attached to rocks. Their tentacles open like fleshy petals and contract whenever danger is near.,3,Kelp,Jellyfish,Sponges,Sea Anemones
animals,"This sea animal, widely considered the most valuable shellfish, is common in shallow, warmer waters of all oceans.",0,Oyster,Shrimp,Scallop,Lobster
animals,"This crab is not really a crab, but an arthropod. Its closest relative is the spider.",1,Fiddler Crab,Horseshoe crab,Spider Crab,Rock Crab
animals,"These worms are not in fact worms, but bivalves. They enter wood as larvae, where they remain and grow, burrowing through the wood.",3,Sea Mice,Ribbon Worms,Lugworms,Shipworms
animals,"Also called Sea Biscuit, this animal lives in deeper water half-buried in the sand.",0,Sand Dollar,Star Fish,Scallop,Mussel
animals,The red kangaroo appears on the Coat of Arms of Australia together with what other endemic Australian animal?,0,Emu,Platypus,Dingo,Koala
animals,Which of these mammals was brought to Australia by humans?,1,The echidna,The dingo,The koala,The Tasmanian tiger
animals,"Which of the following statements about echidnas, mammals native to Australia, is wrong?",3,Echidnas are covered with spines.,Echidnas have snouts.,Echidnas lay eggs.,Echidnas are marsupials.
animals,The diet of the koala consists mainly of what plant species?,0,Eucalyptus,Bamboo,Willow,Cork Oak
animals,Which one of these Australian reptiles is the largest living crocodile in the world?,3,The thorny devil,The weedy sea dragon,The blue-tongued skink,The saltwater crocodile
animals,This Australian monotreme lays eggs and has a remarkable sense of electroception.,0,Platypus,Red kangaroo,Dingo,Emu
animals,Which Australian animal is the largest living carnivorous marsupial on Earth?,1,The Tasmanian tiger,The Tasmanian devil,The platypus,The red kangaroo
animals,"Qantas, Australias largest airline company, has what Australian animal on its red-and-white logo?",1,Koala,Kangaroo,Emu,Tasmanian devil
animals,"What is the difference between the male and the female Galah, a cockatoo bird native to Australia?",1,There is no difference between them.,Males and females have different eye colour.,Galah males are crested.,Galah females have shorter tails.
animals,What is the average weight of the Tasmanian Pygmy Possum?,3,About 250g,About 50g,About 100g,About 7g
animals,Which lizard can squirt blood from the corners of its eyes in order to confuse and drive back its enemies?,2,Anole,Gila monster,Horned lizard,Komodo dragon
animals,The venomous lizard Gila monster was named after what?,0,The Gila River basin,The Gila Expedition 1857,Alberto Gilardino,Gilligans Island
animals,"The Komodo dragon, the largest living lizard on Earth, lives in which part of the world?",1,North America,Indonesia,South-western China,Madagascar
animals,Which term refers to the self-defense mechanism which allows lizards to break off their tails when captured?,2,Apotemnophilia,Autonomy,Autotomy,Autism
animals,Which of these statements about geckos is true?,1,Geckos have toe pads which help them climb smooth vertical surfaces.,All of these,Geckos can make chirping sounds.,Geckos feed on insects.
animals,Chameleons are lizards that can change their colour. What does Chameleon mean in Greek?,3,Green melon,Karma lion,Colourful,Earth lion
animals,Geckos have immovable eyelids and cant blink. How do they keep their eyes clean?,1,A tiny insect lives under their eyelids and cleans their eyes.,They lick their own eyes.,They dip their eyes in water.,They cover their eyes with their toes.
animals,The lizards which do not have legs are commonly known by what name?,0,Glass lizards,Monitor lizards,Skinks,Iguanas
animals,Which of these lizard species is not endangered?,0,Eastern Bearded Dragon,Blunt-nosed Leopard Lizard,Mona Ground Iguana,Komodo Dragon
animals,No lizard species live on which continent?,1,South America,Antarctica,Europe,Asia
animals,"This shark is considered a filter- feeder. Its diet consists mainly of plankton, krill, and macro-algae.",0,whale shark,bull shark,great white shark,pygmy shark
animals,This sharks white belly and grey back make it difficult for prey to spot.,2,hammerhead shark,tiger shark,great white shark,whale shark
animals,Which of these sharks has a flat body like a stingray?,3,basking shark,blue shark,blacktip reef shark,angel shark
animals,"This shark was believed to be extinct, until it was found on the coast of Japan in 1898.",2,cookie cutter shark,mako shark,goblin shark,angel shark
animals,Which shark is the fastest swimmer?,1,goblin shark,mako shark,nurse shark,sandtiger shark
animals,What is the common name for baby sharks?,3,calves,pecks,cubs,pups
animals,How many recognized giraffe subspecies exist?,2,6,7,9,5
animals,Which of these is not a subspecies of giraffe?,3,Somali Giraffe,Rothschilds Giraffe,Kordofan Giraffe,East African Giraffe
animals,How long is a giraffes gestation period?,2,18 - 20 months,10 months,14- 15 months,9 months
animals,How many pounds of leaves can a giraffe consume daily?,2,60 pounds,100 pounds,140 pounds,210 pounds
animals,What group of dogs does the beagle belong to?,2,retrievers,setters,hound,terriers
animals,The beagle was developed mainly for tracking what animal?,1,squirrels,rabbits,raccoons,coyotes
animals,About how many years have beagles been around?,0,"2,000","5,000","4,000","3,000"
animals,Which of the following cartoon dogs was a beagle?,2,Courage,Scooby Doo,Snoopy,Clifford
animals,What is the typical lifespan of the beagle?,3,20 years,15 years,7 years,12 years
animals,What type of coat do beagles have?,2,long,short,medium,depends on the dog
animals,The puggle is a mix between a beagle and what dog?,3,papillion,puli,poodle,pug
animals,In what country was the goldfish first domesticated?,1,Egypt,China,Japan,India
animals,How long can a goldfish live in optimal conditions?,3,5 years,8 years,10 years,20 years
animals,In Europe goldfish were first introduced to what country?,3,France,England,Italy,Portugal
animals,What color goldfish were most prized by the Chinese royalty several centuries ago?,1,Silver,Yellow,Orange,Red
animals,What color are wild goldfish?,3,Silver,Orange,Yellow,Green
animals,"This bird is the fastest animal on the planet in its hunting method, the stoop.",2,Bald Eagle,Red-tailed Hawk,Peregrine Falcon,Golden Eagle
animals,These raptors are known for their unusually social behavior. They even hunt in groups while the majority of raptors are solitary hunters.,3,Golden Eagle,Turkey Vulture,Spotted Owl,Harris Hawk
animals,This animal is the largest of the deer family and can be found in the northern parts of North America.,1,Gazelle,Moose,White Tailed Deer,Elk
animals,Which of these animals cannot be found in North America?,2,Flamingo,Walrus,Dingo,Beaver
animals,"This bear, also known as a Silvertip bear, is native to North America.",3,Panda Bear,Polar Bear,Red Panda Bear,Grizzly Bear
animals,The coyote lives in North America and also goes by this name.,1,Desert Dog,Prairie Wolf,Prairie Dog,Small Wolf
animals,This North American animal is at the top of the food chain in the arctic region.,1,Walrus,Polar Bear,Arctic Fox,Penguin
animals,This mammal is known for its black fur with a white stripe and for its apparent odor.,2,Sloth,Ferret,Skunk,Weasel
animals,What type of animal is the cottonmouth?,1,Mouse,Snake,Bat,Lizard
animals,This creature belongs to the rodent family and is covered in sharp spines or quills.,3,Nutria,Armadillo,Kiwi,Porcupine
animals,How many species of skunk exist?,3,6,8,13,11
animals,How many young skunks can be born in one litter?,2,1-10,1-5,1-7,1-4
animals,What do skunks eat in the wild?,0,All of these,Insects,Meat,Fruit
animals,How much of an effective range do skunks odor glands have?,0,15 feet,10 feet,8 feet,20 feet
animals,How many subspecies of Red Fox are found in India?,3,2,None. Red Fox are not native to India.,1,3
animals,Which of these coat colors is not found in wild Red Fox populations?,3,Golden,Spotted,Red,Black
animals,What is the top speed that the Red Fox can reach?,2,25 mph,35 mph,45 mph,55 mph
animals,Which of these are eaten by the Red Fox?,2,Insects,worms,All of these,eggs
animals,How long is the Red Foxs lifespan in the wild?,0,3 years,8 years,6 years,10 years
animals,Approximately how long is a Red Foxs gestation period?,1,89 days,55 days,40 days,34 days
animals,What is an adult male rooster known as?,0,Rooster,Buck,Hen,Foul
animals,What is the word used for someone that is afraid of chickens?,2,Xenophobic,Chickopobic,Alektorphobic,Avianphobic
animals,Which of the following is not a breed of chicken?,3,Australorp,Cubalaya,Houdan,Chinese Crested
animals,How many beats per minute does a chickens heart usually beat?,2,100-234,147-189,280-315,95-124
animals,Which of the following color of egg is incorrect for a chicken egg?,0,black,white,pink,blue
animals,All domestic chickens can be traced back to which bird?,2,The Wild Turkey,The Macaw,The Red Jungle Fowl,The Amazon Rain Forest Chicken
animals,Which of the following characters is a chicken?,1,Dori,Foghorn Leghorn,Daffy,Kermit
animals,What is the average lifespan of a lion in the wild?,2,6-9 years,20-24 years,10-14 years,15-20 years
animals,Most lions only survive in Africa. But a population of the much endangered Asiatic lion lives in India. How many estimated lions live in India as of 2007?,0,300,550,"1,500","3,000"
animals,What is the average maximal speed a lion can reach?,0,35 mph / 56 km/h,45 mph / 72 km/h,20 mph / 32 km/h,40 mph / 64 km/h
animals,Approximately what amount of meat does an adult male lion’s diet require per day?,2,10 lbs. (4.5 kg),5 lbs. (2.2 kg),15 lbs. (6.8 kg),25 lbs. (11 kg)
animals,Approximately how long is a lions gestation period?,2,200 days,30 days,120 days,60 days
animals,How many species of penguins live in warm or even tropical environments?,3,0,3,2,4
animals,Which of these is the largest species of penguins?,2,King Penguin,Giant Penguin,Emperor Penguin,Royal Penguin
animals,What does the word penguin mean?,0,Fat,Black and White,Swimmer,Bird
animals,Which of these animals is NOT a natural predator of penguins?,1,Leopard Seal,Polar Bear,Stellars Sea Eagle,Orca (Killer Whale)
animals,Where can the polar bear be found?,2,South Pole,Antartica,Arctic,All of these
animals,What color is a polar bears skin?,0,Black,White,Pink,Yellow
animals,Approximately how many wild polar bears are estimated to live across the Arctic?,0,"20,000","100,000","150,000","60,000"
animals,"According to Guinness Book of World Records, the heaviest wild bear was caught in 1960 and weighed 1,960 lbs (890 kg). What was its length?",0,"Over 11 feet (3,40 m) tall","Over 12 feet (3,70 m) tall","Over 9 feet (2,70 m) tall",Over 10 feet (3 m) tall
animals,A polar bear is used as the marketing icon for which of these popular products?,3,Maytag Freezers,Hoods Ice Cream,Popsicles,Klondike Bars
animals,The Labrador Retriever is considered a medium-sized dog. How much does it weigh when fully grown?,2,65 - 110 pounds,40 - 55 pounds,55 - 80 pounds,20 - 60 pounds
animals,What is the estimated average lifespan of a crocodile?,3,80+ years,50+ years,90+ years,70+ years
animals,On which of these continents can you find the Salt Water Crocodile?,2,Africa,South America,Australia,North America
animals,A crocodile bite strength is up to how many pounds psi (per square inch)?,0,3000 psi,5000 psi,700 psi,1500 psi
animals,Which of these is NOT a species of crocodile?,3,Nile Crocodile,Mugger Crocodile,American Crocodile,African Crocodile
animals,What is the average incubation period of crocodile eggs?,1,50 days,80 days,120 days,25 days
animals,Beavers are the second largest rodents in the world after which animal?,2,Muskrat,Mountain Marmot,Capybara,Sea Otter
animals,The North American Beaver is Canadas National symbol that adorns which Canadian coin?,1,Penny,Nickle,Quarter,Dime
animals,What is the gestation period of a beaver?,3,2 months,3 months,6 months,4 months
animals,Butterflies need the warmth of the sun in order to fly. They cannot possibly fly if the temperature is below this.,3,60 F (16 C),80 F (27 C),70 F (21 C),50 F (10 C)
animals,Butterflies taste their food through this organ.,3,The wings,Their faceted eyes,The proboscis,The legs
animals,Butterflies do not have lungs. They breathe trough this organ.,1,The proboscis,The abdomen,The eyes,The legs
animals,This is what mostly attracts a butterfly to a flower.,0,The flowers nectar,The flowers color,The flowers shape,The flowers smell
animals,The expression social butterfly is often used to describe a woman. It means that she does this.,2,Uses too much cosmetics,Behaves quite self-conceited,Flits from one person to another,Wears clothes with bright colors
animals,"n you call a dog, he comes right over to you. When you call a cat, she________________.",3,climbs the curtains,runs away from you,thinks its dinner time,takes a message
animals,Why does your cat interrupt you and want petting when youre on the phone?,0,your cat thinks you are talking to him/ her,to annoy you,to be a part of your telephone call,your cats is jealous that youre talking to someone else
animals,Why do cats seem to be attracted to the one person who doesnt like cats?,3,Kitty wants to annoy them,Kitty thinks that person has food,Kitty wants to win them over,Kitty sees that person as unintimidating
animals,Why do cats suddenly race through the house?,1,They feel a change in the weather.,They have an overflow of pent-up energy.,They want to get your attention.,They feel the presence of a ghost.
animals,Why does a cat rub against your leg?,2,Because she/ he really likes you.,Because it feels good.,To mark you by depositing his/ her scent,To show he/ she trusts you
animals,Why does a cat bury his/ her waste?,1,To show their dominance,To protect their trail from predators,Because they are so territorial.,Because they are very clean animals.
animals,"Why do cats always want in when they are out, and out when thery are in?",0,To re-mark their scent,To annoy you,Because they have pent-up energy,Because they are bored
animals,Why do cats like to sleep in the sun?,0,To make up for the drop in body temperature when they sleep,To keep from shedding so much,It reminds them of being kittens,Because they can hear better when they are warm
animals,Why do cats go crazy over catnip?,0,Because it smells like a cat in heat,Because it smells like prey,Because it smells like tasty food,Because it is an aphrodisiac
animals,How many known species of earthworm exist worldwide?,2,"3,000","2,500","5,500","1,000"
animals,How many hearts does a typical earthworm have?,1,2,10,4,8
animals,Why do earthworms come to the surface after rainstorms?,3,The temperature on the surface is cooler.,They cant take the acid rain.,They can drown if their holes fill up.,No one knows for sure but there are four theories trying to explain this behaviour.
animals,How many species of earthworm are native to Australia?,0,650,450,250,850
animals,How many million of earthworms were exported from Canada and sold worldwide in 1980?,2,225 million,260 million,370 million,100 million
animals,To which animal class do octopuses belong?,3,Mollusk,Coleoid,Nautiloid,Cephalopod
animals,Which of the following animals is the least related to the octopus?,2,Scallop,Snail,Eel,Clam
animals,How many arms do octopuses have?,0,8,5,0,2
animals,Approximately how tall is a grizzly bear when standing on its hind legs?,3,9 feet (2.7 m),7 feet (2.1 m),6 feet (1.8 m),8 feet (2.4 m)
animals,In which country is the grizzly bear listed as a threatened species?,0,U.S.,Germany,Canada,Sweden
animals,"Although the grizzly bear is on the flag of this state, the last grizzly was shot there in 1922.",1,Nevada,California,Oregon,Idaho
animals,Which of these do grizzly bears eat?,3,Moose,Berries,Fish,All of these
animals,How many fatal brown and grizzly bear attacks have been reported between 1900 and 2003 in North America?,1,175,53,542,257
animals,Which of these things is something you should never feed your dog?,1,Coconuts,Chocolate,Milk,Raw meat
animals,Which of these is only a dog food brand?,1,Eukanuba,Cesar,Iams,Purina
animals,A dog should never be left with a child under this age because the child may injure the dog or him/herself.,3,ten,seven,three,five
animals,What were the dodos closest living relatives in nature?,1,Chickens,Pigeons,Parrots,Turkeys
animals,In what year was the dodo discovered?,3,1627,1605,1681,1598
animals,In what year did the dodo become extinct?,2,1705,1789,1681,1803
animals,The does “cheetah” mean translated from Sanskrit?,1,Fast,Spotted One,Lightning,Stealth cat
animals,What are cheetahs that have mutated patterning that creates blotches instead of spots called?,0,King Cheetahs,Smudge Cheetahs,Black Cheetahs,Striped Cheetahs
animals,Which of these is not a sound made by cheetahs?,2,Hiss,Yelp,Roar,Purr
animals,The ruler of the Mughal Empire Akbar the Great was very enamored with cheetahs and it is said he kept a stable of how many of these cats?,2,"5,000",750,"1,000",500
animals,What is the typical lifespan of the cheetah?,3,25-40 years,15-25 years,5-10 years,10-20 years
animals,In 2007 the amount of cheetahs left in the wild dropped to what number?,0,"12,000","20,000","30,000","5,000"
animals,What frog is the most poisonous?,1,Cane Toad,Dart Frog,Corroboree Frog,Red-Eyed tree frog
animals,Which of these types of frogs shares its name with an animal that is not a frog?,0,horned frog,leopard frog,tree frog,arrow frog
animals,What is the smallest frog?,1,Red-Eyed Tree frog,Brazilian Gold Frog,Cane Toad,Monte Iberia Eleuth
animals,How many species of zebra are known to exist?,1,6,4,3,5
animals,Which one of these is not a species of zebra?,0,Savanna Zebra,Cape Mountain Zebra,Grevys Zebra,Plains Zebra
animals,How tall is a typical zebra at the shoulder?,0,4 feet (1.2 m),6 feet (1.8 m),5 1/2 feet (1.6 m),3 feet (0.9 m)
animals,How fast can a zebra run?,3,30 mph (50 km/h),25 mph (40 km/h),50 mph (80 km/h),40 mph (65 km/h)
animals,Which of these are not a function of a zebras stripes?,0,A warning sign to other zebras,Identification within the herd,Heat dissipation,Confusion of predators
animals,How long can a zebra live in captivity?,2,30 years,20 years,40 years,15 years
animals,This type of ant causes a lot of allergic reactions in the USA.,3,Jack Jumper  ant,Bulldog ant,Western brown ant,Fire ant
animals,This type of ant is considered the most venomous of all insects.,2,Western brown ant,Bulldog ant,Jack jumper ant,Fire ant
animals,About how long have ants been around on Earth?,2,8 million years,45 milllion years,60 million years,25 million years
animals,The largest ant colony is located on the Ishikari coast of Hokkaido. Approximately how many ants are there in this colony?,0,"300,000,000","30,000,000","700,000,000","1,500,000"
animals,What are the three basic parts of an ants body?,1,"Antennae, abdomen, thoraces","Head, mesosoma, metasoma","Head, abdomen, metasoma","Head, thorax, somatomy"
animals,All of these substances but one are a safe way to get rid of ants in the house. Which is the odd one?,2,Cider vinegar,Windex mixed with ivory soap,Wine,Whole cloves
animals,What do we call the type of ants that plant seeds to grow food?,3,Formicadae,Thresher ants,Farmer ants,Harvester ants
animals,What is special about the red ants of the Southwestern USA and Central and South America?,3,They can live in temperatures from 11 degrees Centigrade to 51 degrees Centigrade.,They can live for six days without food or water.,They can change color.,They steal larvae for slaves.
animals,In 1966 was found the first ant fossil. From which geological period did it come from?,0,Cretaceous,Pennsylvannian,Pre-Fermaceous,Jurasic
animals,Which statement about ants is untrue?,0,Anteaters prefer ants to any other type of food.,An ant colony will eat its own larvae if there is no other food around.,Bullet ants are considered to have the most painful sting.,Ants are sometimes put into Thai salads.
animals,Warner Brothers highest grossing film of 1954 was about enormous ants that threatened a small town in the USA. What was the title of this movie?,1,Ants!,Them!,Invasion,Invaders
animals,How many species of flamingo are native to the Americas?,3,3,2,1,4
animals,What do you call a group of flamingos?,3,Family,Pink,Flock,Pat
animals,Which of these flamingo species is not native to the Americas?,2,Chilean Flamingo,Andean Flamingo,Lesser Flamingo,James Flamingo
animals,Why do flamingos often stand on one leg?,3,To keep their feet from becoming waterlogged.,To keep feet from getting tired.,To stir up as little silt from bottom as possible.,Noone knows for sure.
animals,What decade did the pop culture icon the plastic lawn flamingo come into existence?,1,40s,60s,30s,80s
animals,When was the last reported killing of a Thylacine in Australia?,0,1930,1880,1900,1910
animals,What was the name of the zoo in which the last known Thylacine was placed in 1936?,0,Hobart Zoo,Queensland Zoo,Queen Elizabeth Zoological Gardens,Australia Zoo
animals,Why were Thylacines called Tigers?,3,because of the vicious way in which they killed their prey,because they looked like cats,because of their mean disposition,because of the stripes on their back
animals,What was the fine for shooting a Thylacine?,3,"$10,000","$1,000","$3,000","$5,000"
animals,In what year were Thylacines classified as extinct?,0,1986,1979,1974,1965
animals,"In 1984 what famous mogul offered a $100,000 reward for proof of the continued existence of Thylacines?",2,Donald Trump,Rupert Murdock,Ted Turner,Bill Gates
animals,What is a pangolin?,0,A scaly ant-eating mammal,A poisonous snake,A type of fish,A type of waterfowl
animals,What does the Malaysian word pangolin mean?,1,Armor,Roll into a ball,Walking Pinecone,Scaly Anteater
animals,Which of these statements concerning the way in which pangolins defend themselves is false?,0,They run away very quickly.,They spray a noxious odor like a skunk.,They curl up in a ball.,They attack by slashing their long claws or whipping their tails.
animals,How many young pangolins can an adult pangolin have at one time?,0,1-2,3-4,4-5,2-3
animals,"Although not all bear subspecies are vicious, there is a tendency for increase in bear attacks due to this factor.",0,Destruction of bears natural habitat,Pollution,Genetical mutation of bears,Hunting
animals,Despite sharks’ bad reputation thanks to movies out of 300 species of sharks only this much are known to have attacked and killed a man.,0,4,10,2,11
animals,We’ve seen these animals as friendly and approachable but the truth is that they’re unpredictable. What is the average number of fatalities a year elephants cause?,2,150-200,20-40,300-500,1000-1500
animals,"Hippopotamuses may seem slow, lazy and bulky but in fact are one of the most dangerous African animals. Which of the following should you avoid in order to prevent a hippopotamus attack?",1,Standing between the hippopotamus and its calf,All of these,Surprising the hippopotamus,Blocking the hippopotamus’ way
animals,Crocodiles like to stay motionless in water and wait for the perfect time to strike. These powerful prehistoric creatures annually give what estimated number of fatalities?,3,1000-1500,50-100,100-200,600-800
